-1,-4601
-100,-917
-10014,-1404
-10014,3727
-10016,-5854
-10016,-9454
-10017,7216
-10018,4300
-1013,9551
-1015,9630
-1018,-637
-1018,1596
-1018,8770
-103,-5663
-1048,8379
-1050,-1314
-1051,-6926
-1051,4413
-1052,-1206
-1082,-5381
-1083,2081
-1083,9246
-1085,9070
-1115,-431
-1115,-8845
-1116,-1987
-1117,8474
-1119,2848
-1146,-9048
-1147,431
-1147,7313
-1178,1498
-1178,3148
-1180,-4887
-1181,3050
-1182,-146
-1182,-7122
-1214,-252
-1214,3527
-1244,-8191
-1247,-727
-1248,-1405
-1248,-9828
-1248,2173
-1279,-1595
-1279,-3346
-1279,9443
-1281,1994
-1282,-4315
-129,9473
-13,9088
-1301,-3346
-1314,3828
-1315,-8668
-132,3729
-1323,7128
-133,7895
-1335,-5751
-1341,3631
-1341,4701
-1345,7107
-1348,-9551
-1354,5724
-136,-7510
-1367,4114
-1375,-7310
-1378,-439
-1379,3049
-1380,5477
-1380,6352
-1409,-7120
-1409,1300
-1411,-3156
-1416,-3731
-1439,-6157
-1442,-3630
-1473,2375
-1473,6924
-1475,-8471
-1475,-9923
-1479,8179
-1504,7713
-1507,-1312
-1507,-3234
-1508,-1605
-1508,-4123
-1509,-3247
-1509,-4991
-1509,-9640
-1509,2377
-1509,6721
-1512,6642
-1539,-1218
-1558,6863
-1573,-7031
-1574,9349
-1575,3631
-1588,4499
-1602,7977
-1604,-6255
-1607,5569
-163,-9733
-1636,-6148
-1637,-9534
-1639,-3347
-1642,1980
-1642,3631
-1642,637
-165,-2277
-166,-4318
-1666,-5883
-1669,2373
-1670,-2658
-1670,-6340
-1670,-7895
-1670,8562
-1671,-3933
-1671,-7126
-1671,-7798
-1671,-9837
-1671,4018
-1671,6058
-1671,8770
-1671,9935
-1672,6438
-1677,-6643
-168,913
-169,7887
-1702,433
-1708,-1407
-1713,-353
-1735,1506
-1739,-537
-1755,-1871
-1802,2175
-1804,-5085
-1804,1000
-1804,6153
-1805,335
-1832,2074
-1832,4113
-1833,6637
-1834,-7893
-1834,1695
-1835,6636
-1836,-1123
-1837,-9931
-1862,6146
-1865,-9733
-1866,-3253
-1868,4597
-1869,-4119
-1869,8377
-1881,2314
-1901,-5478
-1903,6742
-1903,9926
-1904,10018
-1930,8761
-1934,-5288
-1935,7888
-1936,-52
-1963,-8059
-1963,-8183
-1963,8562
-1965,1406
-1965,3729
-1968,-4318
-1969,-1405
-1997,920
-1999,-6543
-2,-1790
-2,-9147
-2,8378
-200,-3791
-200,5374
-200,917
-2000,-5659
-2000,-5767
-2000,-9544
-2000,-9594
-2001,5087
-2003,8561
-201,4120
-2012,-1101
-202,-49
-2031,-253
-2031,534
-2032,6156
-2035,50
-2062,-8376
-2062,6721
-2064,4209
-2066,-6443
-2096,-5087
-2096,-6924
-2097,5364
-2098,-3246
-2098,-6827
-2098,-8098
-2098,435
-2099,-3246
-2099,-3448
-2100,-917
-2124,636
-2127,-6833
-2129,-9640
-2129,924
-2131,1016
-2133,7307
-2133,915
-2146,-6966
-2159,2274
-2159,2759
-2160,6877
-2161,-4021
-2162,-5088
-2192,-52
-2193,-1989
-2193,9545
-2194,-2277
-2195,-10018
-2195,-5086
-2195,2476
-2195,3345
-2199,-7511
-2199,-9636
-2227,-2759
-2230,6340
-2231,-9735
-2259,2755
-2259,7510
-226,-9411
-2262,5954
-2264,-1103
-2264,-6640
-2264,-7995
-2264,926
-2292,-8773
-2293,4595
-2296,2371
-2310,-1063
-232,-3539
-2328,-2181
-2328,-5282
-233,3728
-233,5382
-234,-623
-235,-2475
-2351,-7433
-2359,-3345
-2359,-4119
-2359,-5670
-2361,-2957
-2362,-4712
-2363,2961
-2388,-1020
-2388,-354
-2391,-5872
-2393,-53
-2394,-7121
-2421,6638
-2422,-5670
-2422,-8970
-2425,5373
-2426,-820
-2426,-8663
-2441,-3933
-2456,-7410
-2458,-147
-2459,818
-2460,7307
-247,2866
-2488,-51
-2491,-7027
-2491,-7217
-2491,-9353
-2492,5375
-2519,3349
-2520,-9062
-2521,2473
-2522,-8565
-2522,1300
-2523,-5672
-2523,-8965
-2523,1210
-2540,-3083
-2540,2497
-2541,1162
-2552,-2862
-2555,8091
-2556,-4224
-2556,8379
-2557,-3630
-2557,2843
-2557,47
-2576,5204
-2585,-4115
-2588,-4796
-2588,-8086
-2588,-9924
-2588,1204
-2588,1305
-2588,2663
-2588,7105
-2588,9446
-2589,-3529
-2590,-1496
-2590,8481
-2591,-2183
-2593,5569
-260,-8279
-2619,9533
-2620,-5472
-2620,918
-2623,9349
-2636,5266
-2637,-3207
-265,-3630
-265,3730
-2650,8701
-2652,-5770
-2652,6639
-2653,-3830
-2653,3833
-2656,-2483
-2656,7996
-2659,6339
-266,-6937
-2662,7653
-2681,-3635
-2685,-1507
-2686,-9734
-2686,8759
-2687,6338
-2689,-2211
-2693,1201
-2695,-6358
-2717,-8663
-2717,1587
-2717,2174
-2717,3150
-2717,3628
-2717,4693
-2717,7018
-2717,7512
-2717,8379
-2718,-2759
-2718,-4111
-2718,1202
-2718,4802
-2718,6538
-2718,823
-2720,-52
-2721,-9640
-2721,3242
-2721,8377
-2752,-819
-2756,4214
-2782,-8762
-2786,-9149
-2787,-4602
-2787,435
-2800,-2093
-2801,-9047
-2817,-6259
-2847,-7421
-2849,-3533
-2849,-4015
-2849,-5377
-2850,-3821
-2850,4019
-2853,-4990
-2870,-8685
-2880,-1021
-2880,-9541
-2880,1022
-2881,-2093
-2881,-3063
-2881,-4128
-2881,-5086
-2881,-5570
-2881,-6925
-2881,-9271
-2881,3243
-2881,4498
-2881,5180
-2881,9349
-2882,-7694
-2882,2764
-2882,4115
-2915,-4599
-295,434
-2950,-132
-2950,-7706
-297,817
-2978,-1890
-2980,2468
-2982,-1971
-2982,-5568
-2982,-6844
-2982,-8580
-2982,4399
-2982,821
-299,-7893
-300,2082
-300,4600
-301,5955
-301,7309
-3012,-1404
-3013,-3432
-3013,10018
-3013,1390
-3015,-3831
-3015,5181
-3043,-7126
-3043,-7693
-3043,141
-3043,4316
-3044,-2467
-3044,-434
-3044,-7510
-3044,-8376
-3045,-629
-3045,5470
-3048,1954
-3076,1794
-3077,-2280
-3077,-4315
-3077,2759
-3079,8775
-3080,-5854
-3080,7511
-3081,8379
-3093,9370
-3095,2751
-3106,8562
-3109,-4789
-3111,-1786
-3111,-2664
-3113,-538
-3113,2377
-3113,8861
-3114,1504
-3116,-822
-3117,-6722
-3141,-9442
-3144,1600
-3145,-5864
-3175,-5185
-3176,-3048
-3177,-1114
-3177,-1790
-3177,-6925
-3177,-7694
-3177,-9733
-3177,4895
-3177,6827
-3177,737
-3177,8577
-3177,8966
-3178,-437
-3178,-6937
-3178,737
-3181,-8867
-3206,-1017
-3208,4701
-3231,899
-3241,4305
-3242,-5675
-3242,332
-3242,9154
-3244,-8387
-3246,-5470
-3271,-5570
-3273,-8867
-3274,-4804
-3274,-6941
-3274,6984
-3275,-925
-3275,9348
-3276,-4319
-3278,-1892
-3283,6560
-3309,3723
-3309,8660
-3311,-8199
-332,-6439
-332,6343
-332,6930
-333,-4791
-3339,2469
-3340,8374
-3345,-6925
-3345,-6926
-3370,-5672
-3371,-7510
-3372,2561
-3373,4307
-3374,2076
-3375,-8576
-3407,819
-3426,-4676
-3437,-3054
-3437,7998
-3438,8087
-3472,4701
-3473,-6057
-3473,-9733
-3476,6924
-3503,-3156
-3503,-6251
-3503,434
-3507,-3629
-3507,-9640
-3507,1405
-3508,-821
-3508,-8277
-3508,4032
-3508,6339
-3509,-1103
-3509,-3751
-3509,5467
-3536,7214
-3536,7895
-3537,3050
-3538,-1405
