(X,Z,SeedCount)
6438,3835,516
31,8763,516
-5436,-7512,515
-3311,-8199,515
2844,3743,514
-4389,4702,514
-3177,-7694,514
-169,7887,514
3724,-4113,513
-7298,7024,513
150,4985,512
5262,1891,512
-260,-8279,511
6542,-3448,510
-8316,4600,510
7186,9264,510
-8211,-5084,509
3711,-295,508
6804,-8092,507
226,-8683,507
9125,8085,507
-1832,2074,506
8670,333,504
8794,-253,504
-6024,7892,503
-5163,6822,502
1761,-5578,500
-5175,-9833,499
-7825,-4887,497
-5764,8562,497
-8997,-3446,497
526,-2963,496
1861,5374,495
-5762,6642,495
7360,1202,494
-7919,-4903,493
8307,434,493
-4945,-9446,493
-2982,4399,491
-2000,-9544,491
5980,-2173,490
3402,-5089,489
1926,6741,489
6116,-7419,489
417,9350,488
9325,-9733,488
-3043,4316,487
-6018,3146,487
9519,4417,487
-2717,7018,484
9647,-8965,484
9255,-3635,482
3247,-5003,481
-6349,5082,481
715,7513,481
-7561,8379,481
-5762,-7510,480
1243,-4221,479
-3178,-6937,479
3423,2193,478
3694,-4702,478
4253,-4795,478
-8771,-7510,478
8897,140,478
-3473,-9733,478
2349,6256,477
5887,-9733,477
-97,4399,476
6082,-2090,476
6968,-4316,476
752,-3249,475
8176,7509,475
-9229,-6146,475
459,-2862,474
-2195,-5086,474
456,-534,473
2418,-3345,472
5627,-5472,472
8011,-2172,472
4251,-438,471
-626,4696,471
3433,8379,471
8373,9211,471
-9320,7510,470
-9395,-2387,470
5163,4012,469
3206,-8019,469
1468,-3450,468
2060,3621,468
-9293,1892,468
-952,9736,468
-921,-5860,467
-3732,1211,466
3630,3527,465
5627,1788,465
-8217,-5955,465
3994,-7895,464
2954,737,463
-9101,-1989,463
9094,-7895,462
-1050,-1314,460
718,-1696,460
-4027,-4035,460
5067,3729,460
-5104,6339,460
-7817,7690,460
8404,-2854,460
1337,-3446,459
-3109,-4789,459
-5498,51,459
-6384,-1224,458
3336,-6929,458
3398,-7809,458
816,-1496,457
5427,2456,457
-7154,-4298,457
9812,-8077,457
-8963,-4602,456
3595,231,455
650,4701,455
-1479,8179,455
4728,-719,454
6899,5673,454
8375,-733,454
-5368,3725,453
-6779,4022,453
9812,-9438,452
9618,-9652,451
-4811,-9732,451
-918,1301,450
-3507,1405,450
-1147,7313,450
5722,4693,449
1175,-3544,448
-4914,7307,448
1598,-4601,447
2318,-5668,447
7260,4317,447
7590,-1884,447
8963,4700,447
-3834,-151,446
-3177,-6925,446
6297,6964,444
-7691,-2198,444
-2881,-2093,443
7554,5380,443
-2523,-8965,443
-625,233,442
6899,4099,442
-7595,237,442
-9820,-7510,442
4641,-1594,440
9159,9453,440
-9463,-5085,440
-6155,-5181,439
-821,7705,439
7820,4215,439
163,9065,439
-2062,6721,438
3236,1499,437
-4750,4120,437
-7006,-7996,437
2060,8763,437
-8870,2314,437
-9786,4304,435
2808,1112,433
-1832,4113,433
-6972,3629,433
8470,-7899,433
-888,1121,432
3527,-6736,430
-7919,8377,430
-2264,926,429
3531,7511,429
5104,4983,428
9614,-8869,427
1145,-9733,427
-3995,6156,426
8339,2560,426
3498,-5282,425
-1999,-6543,425
-564,-6821,424
-3045,-629,423
5427,1992,423
-9165,7706,423
-9197,4702,423
945,-9924,423
1106,-6825,422
-4256,-9453,422
587,9741,422
-726,4314,421
-6252,6826,421
-6089,2372,420
-1345,7107,420
-9161,8377,420
-3472,4701,419
-8312,6446,419
-9228,-9929,419
-2717,3150,418
4414,-438,418
4252,-6643,418
912,5670,417
-5764,818,417
4183,6825,417
1697,-8281,415
-2881,3243,414
-4288,7306,414
-7790,4788,414
-9524,-2964,414
9750,-4987,414
3169,-7610,413
-757,6925,412
-459,-7889,411
8143,8379,411
-165,-2277,410
-2098,-3246,409
-6123,-450,409
8696,4315,409
751,4217,408
1862,9047,408
-2881,9349,408
1536,-5470,407
8112,3446,407
-4519,3727,406
6243,144,406
1676,7227,406
7357,5371,406
-8083,3927,406
3790,-1605,405
-3079,8775,405
3595,9438,405
229,-3024,404
-6188,-3544,404
2945,1105,403
3956,6538,403
7180,-3024,403
-7398,2752,402
-9621,7511,402
474,3486,401
-6646,-344,401
1370,7510,401
-7039,-9733,401
3038,-2282,400
-3566,7124,400
1536,7608,400
-1935,7888,400
9351,8863,400
-9360,3141,400
9516,-9347,400
-726,2818,399
7652,1589,399
-6709,-8963,398
-3077,-4315,397
-7298,4499,397
-6689,8701,397
585,-9150,397
7000,-6926,396
6175,5469,395
7229,-4020,395
-6908,-7419,395
-8902,3736,395
-1997,920,394
4826,-4499,394
-7003,-3253,394
4308,8562,394
-9719,232,394
9321,7025,393
4251,-1022,392
4872,1110,392
-6972,1202,392
-9459,4108,392
-1178,1498,391
-6808,-255,391
6934,5088,391
-8632,2259,391
1107,-9069,391
4153,5953,390
8470,-6340,390
-4681,-3449,389
-1865,-9733,389
4577,3243,388
3203,4781,388
-6312,4215,388
-9818,6762,388
9911,8966,387
-2557,47,386
7198,-7412,386
-8597,211,386
-1965,3729,385
-6089,-2662,385
-3508,-8277,385
161,-1402,384
8929,7017,384
2415,-2173,383
7292,6342,383
6673,-239,382
-2882,-7694,382
1403,-3246,381
-6023,-4791,381
-7826,51,381
-8312,6355,380
-3048,1954,379
-7854,-6340,379
-8181,8379,378
2362,8784,378
-2159,2759,377
3561,-7023,377
-8415,-5186,377
6244,6722,376
-9197,-4506,376
-1671,-9837,376
5594,-7509,375
-7759,8379,375
8404,2556,375
7586,9540,375
-3373,4307,374
-5142,3819,374
8900,2274,374
-8937,-8006,374
-9034,3050,374
-6189,7308,373
-2522,-8565,373
3300,3929,372
-1666,-5883,372
6213,-335,372
6642,3348,372
6343,9544,372
-2882,2764,371
64,-5086,371
5619,-4743,371
7786,6701,371
5497,-1405,370
-6187,2765,370
7813,-9774,370
-1642,637,369
814,5280,369
9094,-151,369
-9623,-1608,369
-8706,7610,368
1039,8763,368
-7269,-9932,368
-6447,-6446,367
2911,-6831,367
7819,4215,367
-9162,1591,367
-6157,-9454,367
-6448,-3637,366
-7525,-739,366
7557,-8675,366
8763,-838,366
-3044,-7510,365
4089,-9639,365
-8115,1405,364
7879,-5951,363
1996,8379,363
8997,3142,363
-8021,-9733,363
526,-1768,362
1796,2276,362
-5402,3918,362
6965,4119,362
6484,-7752,362
161,-3537,361
-1416,-3731,360
6346,2577,360
-1509,6721,360
-7494,7700,360
-7854,2458,360
7492,-9062,360
9650,-6728,360
-2540,2497,359
-3242,-5675,359
-6546,2173,359
2451,7411,359
-1936,-52,358
7701,-394,358
-4482,1406,357
5427,-640,357
-5827,7024,357
-3964,-7612,357
7618,-7328,357
-7658,-9249,357
-1574,9349,357
2095,-3630,356
-1671,-3933,356
-1,-4601,356
-200,5374,356
2092,142,355
-5990,-5466,355
487,-7790,355
7393,9066,355
-3111,-1786,354
-5074,-1029,354
-6478,-7127,353
-7854,2369,353
926,-9143,353
5397,6058,352
8766,6058,352
-9196,-4597,352
-1409,1300,351
-299,-7893,351
-2557,2843,350
5461,-5775,350
-7369,-5955,350
-7984,-2469,350
-8707,3920,350
4774,9445,350
9616,2375,350
3500,4759,349
4512,-5188,349
-5738,2173,349
-9362,5267,349
387,-4991,348
-5604,-4397,348
6739,4800,348
4970,7996,348
-5827,8872,348
-9206,8178,348
291,2373,347
-6934,-5671,347
-8738,-439,347
8765,-4596,347
5264,-1604,346
8929,-9349,346
-5761,6441,345
6932,-3051,345
-526,-7028,345
6933,-7612,345
8308,5767,345
-7396,9926,345
-2718,-2759,344
-5436,5568,344
1631,2185,343
-3044,-2467,341
290,-5382,341
-5600,8379,341
-6317,-8866,341
-9423,2376,341
3823,-5085,340
7099,5568,340
-8981,818,340
-2801,-9047,340
-5600,-438,339
94,-7613,339
9647,3146,339
-527,-153,338
1209,-2668,338
-3476,6924,338
-8278,7117,338
-1713,-353,337
-2787,435,337
-8705,7023,337
-6349,9553,337
1598,-1308,336
-5502,4410,336
-6613,520,336
6344,-7801,336
-5369,8374,336
-2003,8561,336
-854,-4510,335
-6973,3334,335
-5892,7511,335
-1214,-252,334
-3274,6984,334
-2264,-7995,334
-1588,4499,333
-5762,-3933,333
-3799,8379,333
-1083,9246,333
3599,-48,332
-3897,-4600,332
9519,737,332
6084,-2571,331
-7757,630,331
-7854,7513,331
-8937,-7809,331
1796,1113,330
7161,1780,330
-7658,-4222,330
-9261,1394,330
3171,9635,330
4938,-9647,330
6704,5768,329
-4194,-6824,329
-2656,7996,329
-2520,-9062,329
-9759,-618,329
4608,-2477,328
5400,1589,328
-4154,-7023,328
3989,-7028,328
160,7975,328
-9624,1501,328
-4943,5555,327
1996,2370,326
-2589,-3529,326
-7854,1885,326
1372,-9834,326
1764,-6255,325
4383,-6844,325
-200,917,324
4087,4013,324
4251,-3724,324
5263,918,324
8242,-6536,324
-9884,-7999,324
-4268,4600,323
-8737,-918,323
4183,9148,323
9518,8288,323
5198,-5001,322
4051,-8480,322
-9393,821,322
1207,9540,322
-2849,-4015,321
-136,-7510,321
4973,7793,321
-9851,-5469,321
2091,-439,320
2617,1209,320
-5728,-3440,320
-6385,-147,320
7322,5750,320
6835,-7898,320
-1244,-8191,320
-9065,-7899,320
-661,-1696,319
-5401,819,319
-5628,-2375,319
6250,4984,319
-3536,7895,319
-8153,-4800,319
2877,-8481,319
1928,-9454,319
6082,150,318
-8122,634,318
8669,6723,318
-5339,-9341,318
-1508,-1605,317
3888,-4503,317
-4646,-49,317
-4648,-537,316
1405,5273,316
-1354,5724,316
7064,3250,316
-8215,2275,316
2779,2474,315
1338,-7016,315
-90,7107,315
8306,-1206,315
3435,8378,315
9321,-7307,315
4578,-4021,314
-1671,-7798,314
291,-9832,314
3070,-3247,313
-1180,-4887,313
-2491,-7027,313
-7136,820,313
-2556,8379,313
-3733,-2564,312
5266,3146,312
-3635,6734,312
-8013,-2598,312
-3960,-3629,311
5427,5182,311
4084,7209,311
2649,2378,310
4548,-4799,310
-4811,-2957,310
5623,-5473,310
8177,2094,310
7851,9252,310
-5010,6348,309
-6938,-4994,309
6082,-9411,309
1010,-9734,309
3791,3057,308
-3761,-6339,308
9265,-5351,308
1503,-3164,307
-6219,-1402,307
6837,-7699,307
-2720,-52,306
-2328,-5282,306
-7363,6539,306
-9297,-1404,306
2761,-4074,305
4087,1597,305
4906,147,305
-3509,5467,305
-6414,7409,305
9066,-1505,305
3920,-9151,305
-820,-5085,304
3203,5375,304
-6056,-4115,304
-4814,-7715,304
-3375,-8576,304
4710,9734,304
5431,3143,303
-8871,2560,303
-1868,4597,302
5691,4215,302
6674,2739,302
1141,7028,302
-8276,-1890,302
-462,8377,302
9058,3812,302
-2576,5204,301
814,6924,301
-6973,2376,301
-9197,8561,301
2095,9630,301
4676,-9736,301
6113,9775,301
-6646,6524,300
8537,4890,300
4807,8864,300
-7228,-5711,299
-7690,-5955,299
-8053,-1686,299
9550,2571,299
8108,536,298
1630,2278,297
-721,-4170,297
-4193,3540,297
-7135,-1412,297
7559,2173,297
-9362,6734,297
1047,-636,296
8211,5472,296
-6838,-9536,296
-7728,-9739,296
2046,2286,295
-5235,-7410,295
-8278,5085,295
-8410,578,295
-3012,-1404,294
1766,7213,294
-7298,-2759,294
-361,-7997,294
8374,6834,294
-8475,-1893,294
-5765,-7487,293
-9360,-7695,293
9876,5273,293
-2388,-354,292
-853,-5773,292
1764,6337,292
8997,-539,292
-2685,-1507,291
3860,1489,291
4970,-3345,291
1961,-5962,291
-1862,6146,291
-2718,6538,291
1208,6730,291
-5666,8660,291
-8902,-6642,291
4834,51,290
1668,-5669,290
-4779,-6247,290
7821,-4886,290
-8215,-7312,290
-4911,8561,290
-953,8955,290
-1341,4701,289
-2687,6338,289
-2460,7307,289
-8412,-2466,289
6608,-8957,289
9585,-6826,289
-9687,3628,289
4679,-5954,288
